model,AOS,CCR,HVS,DAC,AE,FLAT,INTENS,HEDGE,RR,SAFE,CAVEAT1,EVAS,n_total,n_harm,n_devil
DeepSeek V3,0.3541666666666667,0.5104166666666666,0.119047619047619,0.9879285496634352,-0.016159890534437,0.0375520302833605,0.282785679335558,1.193540668047551,0.0,0.4951352846446596,0.6875,0.0,96,42,48
Gemini 2.5 Flash,0.421875,0.8958333333333334,0.119047619047619,0.925009340256168,0.0868016895268081,0.0411491676092119,0.2719492611919267,0.6772751697348246,0.0,0.3180777930532506,0.375,0.0,96,42,48
Gemini 2.5 Pro,0.5260416666666666,0.9270833333333334,0.1428571428571428,0.8484853279900509,-0.1530239636949391,0.1210543581304679,0.2136510977740745,0.3429722013653588,0.0,0.3332418136826104,0.09375,0.0,96,42,48
Gemma 3 27b,0.3802083333333333,0.7291666666666666,0.1904761904761904,0.9273506439533068,-0.0926776793366057,0.10753709378998,0.5244362215543528,0.7216629745032203,0.0,0.3911432539607663,0.25,0.0,96,42,48
Gpt 4.1,0.4791666666666667,0.5208333333333334,0.1666666666666666,0.8712270006219272,-0.0493108122346122,0.0487663379967143,0.5153851903623119,0.8799532942941806,0.0,0.3723064186188664,0.5729166666666666,0.0,96,42,48
Gpt 4o,0.3802083333333333,0.6041666666666666,0.1666666666666666,0.9503589006996936,0.0659440208985162,0.0468537597606406,0.4242847888042655,1.1120813162490542,0.0,0.341363021145095,0.59375,0.0,96,42,48
Gpt 5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,42,48
Grok 3 Mini,0.4791666666666667,0.9791666666666666,0.0476190476190476,0.9990315852205006,-0.1519978966198603,0.1204162426801586,0.1556235702901339,1.6944313387758274,0.0,0.3634746629047679,0.53125,0.0,96,42,48
Grok 4,0.5052083333333334,0.96875,0.0,0.994319520146365,0.0134022090712179,0.1646519836484252,0.2601349143931949,1.1820687383919928,0.0,0.3488495522392286,0.59375,0.0,96,42,48
Inception Mercury,0.4010416666666667,0.4479166666666667,0.0238095238095238,0.903546002787802,-0.0890682323262502,0.0223720663464012,0.0363535457291748,1.6113348382344796,0.0,0.5026016642312372,0.6458333333333334,0.0,96,42,48
Kimi K2,0.4739583333333333,0.65625,0.0,0.823505687106461,0.0163096478059065,0.0099570728962297,0.1923727067251488,0.3874328000971001,0.0,0.3086988009659114,0.625,0.0,96,42,48
Llama 4 Maverick,0.4947916666666667,0.4583333333333333,0.0714285714285714,0.9924886335640216,0.0505697787885996,0.1235535781386647,0.0542092434428616,1.2163860397237165,0.2778582509073891,0.2496522869666883,0.5625,0.0,96,42,48
Llama 4 Scout,0.4427083333333333,0.4375,0.0,0.9811775267192272,0.0193479946560123,0.1057067141390451,0.0721338200285214,0.9987871981397912,0.2339493011134802,0.0899406445743731,0.6458333333333334,0.0,96,42,48
Mistral Magistral Small 2506,0.4427083333333333,0.4166666666666667,0.0,0.6573827889129122,0.0378009477235623,0.0423438135031624,0.0023674242424242,0.7000632181282548,0.0,0.3969256455899791,0.4166666666666667,0.0,96,42,48
Mistral Medium 3.1,0.3958333333333333,0.6875,0.0476190476190476,0.9985770753596844,-0.0476891892077713,0.0853638151591388,0.2785757823021462,0.7456306008282173,0.0,0.3202143231005694,0.6979166666666666,0.0,96,42,48
Mistral Small 3.2 24b,0.3489583333333333,0.6354166666666666,0.0238095238095238,0.9690065938779352,4.625929306993853e-18,0.0991884225433673,0.1991886611264328,1.2023635985774952,0.0109217999126256,0.6530124597886312,0.6979166666666666,0.0,96,42,48
Phi-4 reasoning+,0.4635416666666667,0.4166666666666667,0.0476190476190476,0.9171092214238632,0.0538526454195335,0.0714450968853839,0.0282367118046368,1.1890733909710918,0.0067833401166734,0.4279424027864131,0.40625,0.0,96,42,48
Qwen 3 235b A22B Instruct,0.4010416666666667,0.6979166666666666,0.1666666666666666,0.9844960385756728,4.625929306993854e-18,0.0875583678604599,0.4537330724463075,0.7766457088393394,0.0,0.1639740044033447,0.7083333333333334,0.0,96,42,48
Qwen 3 32b,0.4322916666666667,0.8958333333333334,0.0238095238095238,0.9559071215018424,0.0982962528076404,0.0372305473128431,0.1138666771197857,1.2592705124539854,0.0,0.3929549038969646,0.6458333333333334,0.0,96,42,48
TDR Anubis 70b v1.1,0.4635416666666667,0.40625,0.1666666666666666,0.9375815768603456,-0.1099976576140212,0.0461922232421642,0.2225503872215467,1.5884406614328368,0.0,0.3991067267533372,0.4791666666666667,0.0,96,42,48
TDR Anubis Pro 105b v1,0.4895833333333333,0.21875,0.0,0.4938443551718255,-0.1276884796225703,0.0779924499443783,0.043564845690137,0.8226647054470199,16.19047619047619,0.0577676958229179,0.3333333333333333,0.0,96,42,48
Z-AI GLM 4.5,0.359375,0.8854166666666666,0.0,0.9204086015784742,-0.1391050504698083,0.0379319600065498,0.1560900392869157,0.5177970494949763,0.0,0.4159006049949691,0.5625,0.0,96,42,48
Z-AI GLM 4.5 Air,0.3541666666666667,0.9270833333333334,0.0,0.9935015290519876,0.0598327024265916,0.0407504270188683,0.1785722720457067,0.56333526937203,0.0,0.4873314142167407,0.6875,0.0,96,42,48
